Hisse,Link,Pay Grubu,İmtiyaz Türü,Borsada işlem görüp görmediği
ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2420327a4014209c55161144d,-,,İşlem Görüyor
ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e8d16e0140e8f159dc0033,-,YOKTUR,İşlem Görüyor
ADESE GAYRİMENKUL YATIRIM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720141164431b905a5,A,"A Grubu paylar Ana Sözleşme?nin 7. ve 15. maddeleri çerçevesinde Yönetim Kurulu üyelerinin belirlenmesi ve
oy hakkı kullanımında imtiyaza sahiptir. 
İmtiyazlı (Oy Hakkı 1 hisse 15 Oy)",İşlem Görmüyor
ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c586d22c53018a737800f804ae,A,,İşlem Görmüyor
AFYON ÇİMENTO SANAYİ T.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24158e42401415af83d607fd3,-,YOKTUR,İşlem Görüyor
AG ANADOLU GRUBU HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c014101b18dc000f7,A,YOK,İşlem Görüyor
AGESA HAYAT VE EMEKLİLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95bea0140edeb7a54015d,-,,Seçim Yapınız
AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48b2fa259018bb9e449415e84,A,Yönetim kuruluna aday gösterme ve genel kurulda oy imtiyazı bulunmaktadır.,İşlem Görmüyor
AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14203278a0142095715f914d0,A,İmtiyaz Var,İşlem Görmüyor
AKBANK T.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e8d1830140e905edcd0006,-,Yok,İşlem Görüyor
AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e8cfa00140e92b0c380016,-,İmtiyaz Yoktur,İşlem Görüyor
AKDENİZ YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9901416dc64bd161cb,A,"Yönetim Kuruluna aday gösterme, genel kurulda oy hakkı",Seçim Yapınız
AKENERJİ ELEKTRİK ÜRETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14184e9cf01419bffce0b5a69,-,Yok,İşlem Görüyor
AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141733b56014183c1c6ed426e,A,Genel Kurullarda iki yönetim kurulu üyesi seçme imtiyazı vardır,İşlem Görmüyor
AKFEN YENİLENEBİLİR ENERJİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48304fe9e0186a66e7a9568ea,A,Yönetim kuruluna aday gösterme imtiyazı ve oy hakkında imtiyaz,İşlem Görmüyor
AKIN TEKSTİL A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7101412c13ba8303a8,A,,İşlem Görmüyor
AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14158e41f01415a865c0e4d13,A,Yönetim Kuruluna aday gösterme,İşlem Görmüyor
AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc30140ecc218b30032,A,Yönetim Kuruluna 4 Aday Gösterme,İşlem Görmüyor
AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef470141175e189f0453,-,-,İşlem Görüyor
AKSA ENERJİ ÜRETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241733d42014179341a147ddb,A,8 kişilik Yönetim Kurulu'nun yarısı A Grubu nama yazılı pay sahiplerinin sermaye çoğunluğunun seçeceği adaylar arasından seçilir.,İşlem Görmüyor
AKSİGORTA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95be70140ed12e1f4002c,-,,
AKSU ENERJİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7201413a20480e0851,A,15,İşlem Görmüyor
ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241558bd9014155e085e305fd,-,-,İşlem Görüyor
ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241462fd801415005df1c3612,A,Yönetim Kurulu Üyelerinin seçiminde 4 aday gösterme hakkı,İşlem Görmüyor
ALARKO HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241462fd80141500c738e36be,-,-,İşlem Görüyor
ALBARAKA TÜRK KATILIM BANKASI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c014106a1c5ef016d,-,İmtiyaz Yok,İşlem Görüyor
ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed71014110e38acb01b5,A-C,Yok,İşlem Görüyor
ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c5830502c30183559e2336223e,A,Yönetim kuruluna aday gösterme ve genel kurulda oy kullanma imtiyazı,İşlem Görmüyor
ALKİM ALKALİ KİMYA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95be70140ed147846003c,A,Genel Kurul Oy İmtiyazı,İşlem Görmüyor
ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2416e697d01416f39965a5eb5,A,Kar payında imtiyaz yoktur. Her hisse için 1 oy hakkı var.,İşlem Görmüyor
ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc90140ed1bc88e0071,A,Yönetim Kurulu Üye Seçimi,İşlem Görmüyor
ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c58b2fa64e018f3d2d712476e2,A,Yönetim Kurulu'na Aday Gösterme ve Genel Kurulda oyda imtiyaz,İşlem Görmüyor
ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48c3efac0018fabe7ce965048,A,yönetim kuruluna aday gösterme ve genel kurulda oy imtiyazı,İşlem Görmüyor
ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14158e41f01415a8ea74c4fbe,-,YOK,İşlem Görüyor
ALVES KABLO SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c58b2fa64e018dc0263b1377aa,A,Oy hakkı imtiyazı ve yönetim kuruluna aday gösterme imtiyazı.,İşlem Görmüyor
ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95bea0140ed21b5c10078,B,Yoktur,İşlem Görüyor
ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95bea0140ed2fde10009d,-,,İşlem Görüyor
ANADOLU HAYAT EMEKLİLİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95be70140ed40cb930098,A,YÖNETİM KURULU ÜYELİĞİNE ADAY GÖSTERME,İşlem Görmüyor
ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95be70140ed43c4fe00a9,A,Yönetim Kurulu Seçiminde,İşlem Görmüyor
ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47afb298b017bed9f037a7185,A,"Oy Hakkı İmtiyazı, Yönetim Kurulunda Temsil Edilme İmtiyazı",İşlem Görmüyor
ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696301416ecd11a12b86,A,1) Oyda İmtiyaz 2) Bağımsız Yönetim Kurulu üyeleri dışındaki üye seçiminde aday gösterme imtiyazı,İşlem Görmüyor
ARÇELİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc90140ed55b43900cf,-,Yok,İşlem Görüyor
ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c46d7599a6016dde9d93aa2b52,A,Yönetim Kurulu üyelerinin belirlenmesi ve Genel Kurulda oy hakkı kullanımında imtiyazı bulunmaktadır.,İşlem Görmüyor
ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95bea0140ed5af3a000da,-,Yoktur.,İşlem Görüyor
ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14158e41f01415b1862696142,-,YOKTUR,İşlem Görüyor
ARTEMİS HALI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48c3efac0018dd4c742665c88,A,Oy İmtiyazı ve Yönetiim Kurulu Aday Gösterme İmtiyazı,İşlem Görmüyor
ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d990141600875c531b9,A,YÖNETİM KURULUNA ADAY GÖSTERME İMTİYAZI,İşlem Görmüyor
ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c562329bd1016464c3796e08a0,A,İmtiyazlı,İşlem Görmüyor
ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1413b7ef401413bc2251e0047,A,YÖNETİM KURULUNA ADAY GÖSTERME,İşlem Görmüyor
ASTOR ENERJİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c562329bd10164405fe6c17996,A,A GRUP PAYLARIN PAY BAŞINA 5 OY HAKKI İMTİYAZI VE YÖNETİM KURULU ÜYE SAYISININ YARISINI AŞMAYACAK ŞEKİLDE ADAY GÖSTERME İMTİYAZI,İşlem Görmüyor
ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95bea0140eddf432a0115,A,Yönetim Kurulu Üyelerinin Seçiminde Aday Göstreme İmtiyazı,İşlem Görmüyor
ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c586d22c53018953500b004578,A,İmtiyazlı,İşlem Görmüyor
ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c0141164a06d8043a,A,YÖNETİM KURULU ADAY GÖSTERME İMTİYAZI BULUNMAKTADIR.,İşlem Görmüyor
ATLANTİS YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241558bd9014155dde60a05e7,A,Yönetim Kuruluna Aday Göstermede İmtiyaz,İşlem Görmüyor
ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c0141029fff920169,A,Yönetim Kurulu Üyelerinin seçiminde (A) Grubu paylarının her biri 100.000.000 (Yüzmilyon) oy hakkına sahiptir,İşlem Görmüyor
ATP YAZILIM VE TEKNOLOJİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4794d364801798f781baf0fad,A,"Her bir A Grubu payın, genel kurul toplantılarında 5 oy hakkı vardır. Şirket yönetim kurulu üyelerinin yarısı A grubu pay sahiplerinin belirlediği adaylar arasından seçilmektedir.",İşlem Görmüyor
A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed72014107916fed023d,A,Oy imtiyazı 1 pay =15 oy,İşlem Görmüyor
AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c0141029cf7680164,A,(A) grubu payların yönetim kurulu üyelerinin seçiminde aday gösterme imtiyazı vardır. Yönetim kurulu üyelerinin 3 adedi (A) Grubu pay sahiplerinin çoğunlukla gösterdiği adaylar arasından seçilir,İşlem Görmüyor
AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241733d42014182b942a247e4,A,Yönetim kurulu üyelerinin en fazla yarısı A Grubu pay sahiplerinin göstereceği adaylar arasından genel kurulca seçilir.Yönetim Kurulu 5 üyeden teşekkül ederse 2?si; 7 üyeden teşekkül ederse 3?ü; 9 üyeden teşekkül ederse 4?üA Grubu pay sahiplerinin göstereceği adaylar arasından genel kurulca seçilir.,İşlem Görmüyor
AVRUPA YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/1DE05DAA81E9073AE0530A4A622A2EBD,A,İmtiyazlı (Yönetim Kurulu Seçer),İşlem Görmüyor
AVRUPAKENT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48c3efabf018c4824da4a0623,A,,
AYDEM YENİLENEBİLİR ENERJİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4782a4d580178b56e7c5c4404,A,,İşlem Görmüyor
AYEN ENERJİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc90140edf072ef0165,A,13-c.13-d,İşlem Görmüyor
AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416f846101416f85f6730028,-,Yoktur,İşlem Görüyor
AYGAZ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95be70140ee03bd6000e0,-,Yok,İşlem Görüyor
AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4819d0efe01826e96dd896e0e,A,"Yönetim Kurulu Aday Gösterme,Kar Payı,Oy",İşlem Görmüyor
A1 CAPITAL YATIRIM MENKUL DEĞERLER A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696301416f37201c5f2e,A,Aday Gösterme İmtiyazı / Oy Hakkı,İşlem Görmüyor
BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4701410810f53601c4,A,A grubu paylar oya iştirak bakımından imtiyazlıdır. A grubu pay sahipleri Genel Kurul toplantılarında her A grubu pay için ayrıca 10 oy hakkına sahiptirler. Böylelikle her imtiyazlı A grubu payın 11 oyu vardır,İşlem Görmüyor
BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9b01415fdc75f12f64,A,,İşlem Görmüyor
BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696501416ee5a3d939ad,-,YOKTUR,İşlem Görüyor
BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/402821824da3aa9b014ef2c4cda22947,A,5.625.000 ADEDİ İÇİN - YÖNETİM KURULU ÜYELERİNİN YARISININ SEÇİMİNDE ADAY GÖSTERME İMTİYAZI,İşlem Görmüyor
BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d990141601902e33250,-,,İşlem Görüyor
BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47f7cb491017fb5f0afdf174a,A,Yönetim Kurulu Üye Seçiminde İmtiyaz ve Oy Hakkı İmtiyazı,İşlem Görmüyor
BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4701413a3410a605ce,A,ADAY GÖSTERME,İşlem Görmüyor
BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7201413a4092720892,-,,
BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48b2fa25a018c01ae7c3973de,A,Yönetim Kurulu Seçimi,İşlem Görmüyor
BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95be70140ee07044700eb,A,"Yönetim Kurulu üye seçiminde, oy hakkında ve kar payında imtiyaz",İşlem Görmüyor
BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24158e42401415920fc3308c5,A,YÖNETİM KURULUNDA ÜYE SEÇİMİNDE İMTİYAZ,İşlem Görmüyor
BAYDÖNER RESTORANLARI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c586d22c510189de64baa92725,A,Oyda İmtiyaz,İşlem Görmüyor
BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c56faf888c0170a0e2d88d77c3,A,Yönetim Kurulu Üye Seçimi Ve Beheri 5 oy Hakkı,İşlem Görmüyor
BERA HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241733d42014174023cb0192b,-,,
BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1413b7ef4014144cf3f7b0075,A,imtiyaz,İşlem Görmüyor
BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241a25fcb0141a276cda10189,A,Yönetim Kurulu Üyelerinin seçimi,İşlem Görmüyor
BEYAZ FİLO OTO KİRALAMA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141558bdd01415619e62c0577,A,Yönetim Kurulu aday seçiminde imtiyaz,İşlem Görmüyor
BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24a5df6e7014ba1e60b464173,A,İmtiyazlı,İşlem Görmüyor
BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2413b80d1014144caf7b90037,A,Yönetim Kuruluna ve Denetim Kuruluna Aday Gösterme İmtiyazı ile Oy Hakkı İmtiyazı,İşlem Görmüyor
BİM BİRLEŞİK MAĞAZALAR A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95be70140ee1b7b030119,-,Yoktur,İşlem Görüyor
BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4780814e2017826e1e07318d8,-,Yoktur,İşlem Görüyor
BİRİKİM VARLIK YÖNETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c562329bd10162b9ff7a6b53d6,-,,
BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc90140ee21c40601aa,-,,İşlem Görüyor
BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4794d3648017aa01a43690c1f,A,Yönetim Kuruluna aday gösterme,İşlem Görmüyor
BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc90140ee243b5b01ba,-,YOK,İşlem Görüyor
BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696301416ec4471d280d,-,Yoktur,İşlem Görüyor
