Hisse,Link,Pay Grubu,İmtiyaz Türü,Borsada işlem görüp görmediği
BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47f7cb49201802bda6cbf6b77,A,İMTİYAZLI,İşlem Görmüyor
BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c56eccfc0c016f18f5b1e21747,A,İMTİYAZLI,İşlem Görmüyor
BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4782a4d560178d45481dc5948,-,Bulunmamaktadır,İşlem Görüyor
BOR ŞEKER A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c58b2fa64e018d63bcd2684e71,A,,İşlem Görmüyor
BORLEASE OTOMOTİV A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c486d22a3a018b03b5cfbe29b8,A,Yönetim Kuruluna Aday Gösterme ve Genel Kurulda Oy İmtiyazı,İşlem Görmüyor
BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7201412ac9ca5d06e6,A,"Şirket Esas Sözleşmesinin Yönetim Kurulu?nun Oluşumu başlıklı 10. maddesi uyarınca, Yönetim Kurulu Üyeleri?nin yarısı (A) grubu hissedarların göstereceği adaylar arasından seçilir.
Şirket Esas Sözleşmesinin Oy Hakkı başlıklı 20. maddesi uyarınca, A Grubu hisselerin olağan ve olağanüstü genel kurul toplantılarında beşer oy hakkı vardır.",İşlem Görmüyor
BORUSAN YATIRIM VE PAZARLAMA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9b0141603cd3904103,A,YK seçimi imtiyazı,İşlem Görmüyor
BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95bea0140ee30fb6001b9,A,Yönetim Kuruluna aday gösterme imtiyazına sahiptir.,İşlem Görmüyor
BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9b014160053ed13d39,-,Yoktur,İşlem Görüyor
BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95bea0140ee33bff201cd,A,Yok,İşlem Görmüyor
BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14158e41e01415b2636586ca7,-,Yok,İşlem Görüyor
BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14158e41e01415b2789266cb6,-,Yok,İşlem Görüyor
BURSA ÇİMENTO FABRİKASI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee35c00140ee41a5e4000f,-,Yok,İşlem Görüyor
BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c5830502c30185dea8694c5722,A,Yönetim Kurulu Üye Seçiminde Aday Gösterme ve Oyda İmtiyaz,İşlem Görmüyor
BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c486d22a3a0187c6822e7324e6,A,"Yönetim Kurulu'na aday gösterme imtiyazı, A grubu paylar bakımından rüçhan hakkı kullanımında imtiyaz, özellikli genel kurul kararlarına ilişkin imtiyaz ve Genel Kurul toplantılarında oyda imtiyaz",İşlem Görmüyor
CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee35c00140ee56930f0024,-,-,İşlem Görüyor
CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c01413acf8cda06cc,-,Yoktur,İşlem Görüyor
CEO EVENT MEDYA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c469cee2a20169ed8afa9112ee,A,,
COCA-COLA İÇECEK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee35c00140ee586bdd0034,A,Yönetime katılmada imtiyaz,İşlem Görmüyor
CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c57f7cbb48018007c3ad6154d4,-,İmtiyazsız,İşlem Görüyor
COSMOS YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24158e42401415ada104f7e44,A,İMTİYAZLI,İşlem Görmüyor
CREDITWEST FAKTORİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141558bdd0141561c84700589,A,YÖNETİM KURULU ÜYELERİNİN YARIDAN BİR FAZLASINI SEÇME HAKKI,İşlem Görmüyor
CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c586d22c510187381ba299429a,A,,İşlem Görmüyor
CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c56faf888c016fd6c2036e0a5d,A,Yönetim kuruluna aday gösterme ve genel kurulda 1'e 5 oy imtiyazı vardır.,İşlem Görmüyor
ÇAN2 TERMİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c578080f31017811f4dca6032d,-,-,Seçim Yapınız
ÇATES ELEKTRİK ÜRETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c58b2fa64e018bfaefef6b6fcd,A,,İşlem Görmüyor
ÇELEBİ HAVA SERVİSİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee84900140f1f1584c0015,A,Yönetim Kurulu ve Denetim Kurulu'na aday gösterme,İşlem Görmüyor
ÇELİK HALAT VE TEL SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c0141164dd92d044c,-,Yoktur,İşlem Görüyor
ÇEMAŞ DÖKÜM SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7201413b14392508fb,-,Yoktur,İşlem Görüyor
ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee84900140f1f334ce0025,-,YOK,İşlem Görüyor
ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24158e42401415ad0dece7d3a,A,Herbir hisse sahibine 15 oy hakkı,İşlem Görmüyor
ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24158e42401415ad34c7f7db7,-,,İşlem Görüyor
ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee866c0140f1f64bdb0014,-,,İşlem Görüyor
ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c552495f6401529d6a45d10598,A,Yönetim Kurulu Üyelerinin Belirlenmesi ve Oy Hakkı Kullanım imtiyazı,İşlem Görmüyor
DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7101411160c8c6020f,A,"Yönetim kuruluna aday göstermede imtiyaz.
Kar dağıtımında imtiyaz. 
İhraççının esas sözleşmenin 18. Maddesine göre; Şirketin iflastan başka bir sebepten infisahı veya tasfiyesi halinde, Şirket borçları ödendikten sonra kalan mevcudun %15?i (A) grubu pay sahiplerine ödenir.",İşlem Görmüyor
DAGİ YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7101411163985a021e,-,Yoktur,İşlem Görüyor
DAP GAYRİMENKUL GELİŞTİRME A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47d3bee4e017ea0492b6a0595,A,İmtiyaz Var,İşlem Görmüyor
DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a144a0804e014521a6ca1c0705,-,YOK,İşlem Görüyor
DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2416e697d01416eabc02d14f8,A,Yönetim Kurulu Üye Seçiminde İmtiyaz,İşlem Görmüyor
DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c0140f326817e0041,-,Yok,İşlem Görüyor
DENGE YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee866c0140f1f80b55002b,A,İmtiyazlı,İşlem Görmüyor
DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee866c0140f1fad94e0047,A,Yönetim Kurulu Üyelerinin seçiminde aday gösterme imtiyazı,İşlem Görmüyor
DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed710141116818390237,-,İmtiyazsız,İşlem Görüyor
DERLÜKS YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c469cee2a4016a5492160c43c3,-,Yoktur,İşlem Görüyor
DESA DERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee866c0140f1fe48fa0070,A,,İşlem Görmüyor
DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2416e697d01416ea9d5741424,A,"A Grubu nama yazılı paylar sahiplerine Yönetim Kurulu üyelerini belirleme imtiyazı sağlar. Buna göre; Yönetim Kurulunun 5 veya 6 üyeden oluşması durumunda 4 üye, 7 veya 8 üyeden oluşması durumunda 5 üye, 9 üyeden oluşması durumunda ise 6 üye (A) grubu pay sahiplerinin göstereceği adaylar arasından seçilir.",İşlem Görmüyor
DEVA HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed710141116ab1d60241,A,"Kar payında, oy hakkında, yönetim kurulu üyeliğinde imtiyaz",İşlem Görmüyor
DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c473646c5e017410b3f4b16fae,A,İmtiyazlı,İşlem Görmüyor
DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24158e42201415afbaa14606c,-,Yoktur,İşlem Görüyor
DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed710141179798bb02ed,-,Yoktur,İşlem Görüyor
DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c486d22a3b018a97c880c913d6,A,Aday Gösterme İmtiyazı / Oy Hakkı,İşlem Görmüyor
DO & CO AKTIENGESELLSCHAFT,https://www.kap.org.tr/tr/sirket-bilgileri/genel/1DE05DAA82B4073AE0530A4A622A2EBD,-,-,İşlem Görüyor
DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c486d22a3a018b03b62cd429bd,A,Yönetim Kuruluna Aday Olma ve Gösterme ile Oy İmtiyazı,İşlem Görmüyor
DOĞAN BURDA DERGİ YAYINCILIK VE PAZARLAMA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee866c0140f2066a0400b8,-,Yoktur,İşlem Görüyor
DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141462df201414ff732983087,-,,İşlem Görüyor
DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f27df70140f2eae68c0032,-,Yoktur,İşlem Görüyor
DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47afb298b017ccb97632144e5,A,İMTİYAZLI,İşlem Görmüyor
DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141e536460141ee618a972cf0,-,yok,İşlem Görüyor
DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e8cfa00140e9497d32002f,A,Yönetim Kurulu üyelerinin seçiminde aday gösterme,İşlem Görmüyor
DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e8d16e0140e951bf04007b,-,Yok,İşlem Görüyor
DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241558bd9014155c9b19e03b7,-,Bulunmamaktadır,İşlem Görüyor
DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141effedc0141fe14e2b41807,-,Yoktur,İşlem Görüyor
DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e8cf9d0140e95835a30033,A,YÖNETİMDE OY HAKKINDA,İşlem Görmüyor
EBEBEK MAĞAZACILIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c586d22c51018a2b6c8f5963cd,A,Oy hakkı imtiyazı ve Yönetim Kuruluna aday gösterme imziyazları,İşlem Görmüyor
ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9901416012a278321f,-,YOK,İşlem Görüyor
E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47902e75101792325d43f2419,A,Oyda İmtiyaz,İşlem Görmüyor
EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc90140ecc568850014,-,Yoktur,İşlem Görüyor
EFOR ÇAY SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c5819d0efb0182923c4c307fbf,A,yönetim kuruluna aday gösterme ve genel kurulda oy imtiyazı,İşlem Görmüyor
EGE ENDÜSTRİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/1DE05DAA8254073AE0530A4A622A2EBD,A,10 OY HAKKI,İşlem Görmüyor
EGE GÜBRE SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2422d9a78014304d729e3673d,A,OY HAKKINDA,İşlem Görmüyor
EGE PROFİL TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4701413a5c97b805ea,-,,
EGE SERAMİK SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9b01415ff0ece83aa8,A,Yönetim Kuruluna üye seçilmesi ve denetçi seçilmesi için aday gösterme ve Kâr payı imtiyazına sahiptir.,İşlem Görmüyor
EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14158e41e01415aa30e206011,A,,İşlem Görmüyor
EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d99014160034b683108,-,YOK,İşlem Görüyor
EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc30140ed19d1b80064,A,Yönetim Kuruluna Aday Gösterme,İşlem Görmüyor
EKOS TEKNOLOJİ VE ELEKTRİK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48b2fa25a018bb9a255865895,A,A Grubu payların Yönetim Kuruluna aday gösterme ve genel kurulda oy imtiyazı bulunmaktadır.,İşlem Görmüyor
EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48304fe9c0186ca8287b67657,A,İmtiyazlı,İşlem Görmüyor
ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4794d364a017aa049a089099f,A,Yönetim Kurulu Üye Seçimi,İşlem Görmüyor
EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241a25fcb0141a289218b0302,-,İMTİYAZ YOKTUR,İşlem Görüyor
EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241e538ab0141ef8f97934765,-,Yoktur,İşlem Görmüyor
EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2422d9a780142513cda5b232e,A,YÖNETİME ADAY GÖSTERME,İşlem Görmüyor
ENERJİSA ENERJİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1422d98690142bceaa31957cf,-,,
ENERYA ENERJİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241733d4201417937d4337e22,A,İmtiyaz var,İşlem Görmüyor
ENKA İNŞAAT VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc90140ed3883fe0093,-,YOK,İşlem Görüyor
ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47d3bee50017f77c935000e69,A,Yönetim Kuruluna aday gösterme ; 1'e 5 oy imtiyazı bulunmaktadır. (Esas sözleşme Madde:6 ; Madde:10),İşlem Görmüyor
ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14184e9cf01419c006da45a78,A,%10 Kar Payı İmtiyazı,İşlem Görmüyor
ERCİYAS ÇELİK BORU SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/2af53003ee3c4464b0b653225816518d,A,YÖNETİM KURULU TAM SAYISININ YARISININ ADAY GÖSTERİLMESİ,İşlem Görmüyor
EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc90140ede4c12a0133,A,İMTİYAZLI,İşlem Görmüyor
ERSAN ALIŞVERİŞ HİZMETLERİ VE GIDA SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c5794d3d6a01795f597b820707,A,İmtiyazlı,İşlem Görmüyor
ERSU MEYVE VE GIDA SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7201411160fbeb057e,A,,
ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4782a4d560178f8929f486aed,A,Yönetim Kurulu Seçiminde Aday Gösterme İmtiyazı Bulunmaktadır.,İşlem Görmüyor
ESCORT TEKNOLOJİ YATIRIM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a142140a8d01421437e3fb036a,A,İMTİYAZLI,İşlem Görmüyor
ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c57436079f0174486159f4072f,A,Genel Kurul toplantılarında A Grubu pay sahipleri bir paya karşılık 5 oy hakkına sahiptir.,İşlem Görmüyor
ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4701413b24736d0655,A,Var,İşlem Görmüyor
EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95bea0140ed45272800bb,A,Var,İşlem Görmüyor
EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc90140ed419b5d00a4,A,Var,İşlem Görmüyor
EURO TREND YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc30140edba6a660099,A,Var,İşlem Görmüyor
